,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0203t0199r03,10,203,3,199,215,1.951171875,4.12890625,2.177734375,0.91552734375,48.0,0.5176,0.57470703125
f10p0203t0214r02,10,203,2,214,233,1.830078125,4.0390625,2.208984375,0.810546875,57.0,0.507,0.482666015625
f10p0203t0214r03,10,203,3,214,236,1.625,4.42578125,2.798828125,0.87744140625,66.0,0.502,0.52978515625
f10p0203t0215r04,10,203,4,215,230,2.373046875,4.23046875,1.857421875,0.8359375,45.0,0.503,0.5078125
f10p0203t0217r01,10,203,1,217,234,2.08984375,3.974609375,1.8857421875,0.79150390625,51.0,0.5,0.5068359375
f10p0203t0217r02,10,203,2,217,234,2.279296875,4.2421875,1.962890625,0.73828125,51.0,0.497,0.52490234375
f10p0203t0234r01,10,203,1,234,252,2.015625,3.7890625,1.7744140625,0.73876953125,54.0,0.514,0.53173828125
f10p0203t0234r02,10,203,2,234,251,1.9599609375,3.90625,1.9453125,0.8134765625,51.0,0.5425,0.51611328125
f10p0203t0234r03,10,203,3,234,247,2.224609375,3.78125,1.5556640625,0.8505859375,39.0,0.5015,0.481689453125
f10p0203t0247r03,10,203,3,247,266,1.8212890625,3.787109375,1.9658203125,0.75537109375,57.0,0.5,0.48046875
f10p0203t0247r04,10,203,4,247,263,1.9599609375,3.791015625,1.83203125,0.84130859375,48.0,0.5137,0.53564453125
f10p0203t0251r03,10,203,3,251,270,1.8896484375,4.12109375,2.23046875,0.79296875,57.0,0.5327,0.5068359375
